,dropoff_location_id,dropoff_latitude,dropoff_longitude
0,0,40.74612808,-74.00426483
1,1,40.73316574,-74.0059433
2,2,40.67576981,-73.97454071
3,3,40.75776672,-73.96965027
4,4,40.6950531,-74.1771698
5,5,40.7557869,-73.97807312
6,6,0.0,0.0
7,7,40.71234512,-73.82920837
8,8,40.76290131,-73.96789551
9,9,40.79787827,-73.9463501
10,10,40.75822449,-73.99239349
11,11,40.7961998,-73.94377136
12,12,40.79523849,-73.97154999
13,13,40.77078247,-73.98744965
14,14,40.81124115,-73.95211792
15,15,40.70936584,-74.01704407
16,16,40.75605011,-73.99010468
17,17,40.75503922,-73.96874237
18,18,40.75851822,-73.98628998
19,19,40.72851944,-73.97581482
20,20,40.745327,-74.00245667
21,21,40.69843292,-73.92384338
22,22,40.76818085,-73.95902252
23,23,40.76319122,-73.98538971
24,24,40.71472931,-73.94271088
25,25,40.7098732,-73.94773865
26,26,40.73888397,-73.88148499
27,27,40.80764389,-73.95295715
28,28,40.72694016,-74.00099182
29,29,40.7256012,-73.98801422
30,30,40.61862183,-74.03071594
31,31,40.71889877,-73.9564209
32,32,40.74494934,-73.97611237
33,33,40.77451706,-73.94799042
34,34,40.76950073,-73.96084595
35,35,40.74866867,-73.98706055
36,36,40.7482605,-73.98895264
37,37,40.75423813,-73.96585846
38,38,40.81702042,-73.93851471
39,39,40.75777817,-73.98950958
40,40,40.74949646,-73.99203491
41,41,40.82696915,-73.9024353
42,42,40.69771957,-73.93612671
43,43,40.69564819,-73.94670868
44,44,40.71282196,-73.98873901
45,45,40.79317474,-73.97492218
46,46,40.80535126,-73.96208954
47,47,40.75498962,-73.99459076
48,48,40.76400757,-73.98197174
49,49,40.76110458,-73.96949768
50,50,40.73071671,-73.98910522
51,51,40.77806473,-73.98570251
52,52,40.64998245,-73.96126556
53,53,40.73448181,-73.9895401
54,54,40.75173187,-73.93955231
55,55,40.78313828,-73.97846985
56,56,40.75347137,-73.99256897
57,57,40.74710846,-73.9770813
58,58,40.71347809,-74.01125336
59,59,40.7345314,-74.00470734
60,60,40.72602844,-73.97782135
61,61,40.7768631,-73.94645691
62,62,40.73581696,-73.85942841
63,63,40.72983551,-73.98706055
64,64,40.79333115,-73.97074127
65,65,40.75933075,-73.98858643
66,66,40.68948746,-73.96796417
67,67,40.81033325,-73.95128632
68,68,40.73427582,-73.97843933
69,69,40.74325562,-73.85777283
70,70,40.74206924,-73.98126221
71,71,40.68077087,-73.94968414
72,72,40.76203918,-73.97182465
73,73,40.74215317,-73.95454407
74,74,40.79024124,-73.9394989
75,75,40.75235367,-73.97032928
76,76,40.71963882,-73.9910965
77,77,40.72154999,-74.00138855
78,78,40.76841354,-73.98139191
79,79,40.71591187,-74.00366211
80,80,40.8056488,-73.92554474
81,81,40.71855164,-74.00089264
82,82,40.73345184,-74.00237274
83,83,40.67429352,-73.9573288
84,84,40.70624542,-74.00580597
